GNGT1	Rods
NRL	Rods
PDE6G	Rods
RHO	Rods
ARR3	Cones
CNGA3	Cones
OPN1LW	Cones
OPN1MW	Cones
OPN1SW	Cones
PDE6H	Cones
LHX1	Horizontal
LNP1	Horizontal
ONECUT1	Horizontal
VAT1L	Horizontal
GRIK1	Bipolar
IRX6	Bipolar
LRTM1	Bipolar
PCP2	Bipolar
PRKCA	Bipolar
TRPM1	Bipolar
VSX1	Bipolar
VSX2	Bipolar
GAD1	Amacrine
SLC6A9	Amacrine
TFAP2A	Amacrine
TFAP2B	Amacrine
POU4F2	RGC
NEFL	RGC
NEFM	RGC
RBPMS	RGC
SLC17A6	RGC
SNCG	RGC
THY1	RGC
BEST1	RPE
MITF	RPE
MLANA	RPE
TJP1	RPE
RPE65	RPE
CRABP1	Muller
GFAP	Muller
GLUL	Muller
ACTA2	Endo/Fibroblast
COL1A2	Endo/Fibroblast
EGFL7	Endo/Fibroblast
PDGFRB	Endo/Fibroblast
PROCR	Endo/Fibroblast
VWF	Endo/Fibroblast
AIF1	Immune
CD2	Immune
CD48	Immune
CX3CR1	Immune
HBB	Immune
IL32	Immune
JCHAIN	Immune
LST1	Immune
